#FamilyID	Bimp<0>	Bter<1>	Amel<2>	Aflo<3>	<4>	Mqua<5>	<6>	<7>	<8>	Emex<9>	<10>	Hlab<11>	Lalb<12>	Dnov<13>	<14>	Ccal<15>	Mrot<16>	<17>	<18>	<19>	<20>	
ORTHOMCL874	0.535721	0.0535878	0.534044	0.535936	0.592018	0.0046113	0.563814	0.542746	0.521167	0.630909	0.532146	0.172479	0.716159	0.010313	0.51671	0.295932	0.198783	0.560874	0.512612	0.512612	N/A
ORTHOMCL886	0.567661	0.567661	0.517477	0.518477	6.59164e-05	0.575269	0.533579	0.5221	0.510757	0.573306	0.516478	0.563277	0.633477	0.0328761	0.508462	0.618034	0.574148	0.531952	0.506367	0.506367	N/A
ORTHOMCL901	0.0535878	0.0185289	0.517477	0.518477	0.592018	0.201444	0.09576	0.542746	0.521167	0.0758638	0.532146	0.614808	0.633477	0.56386	0.51671	0.124661	0.574148	0.531952	0.512612	0.0189184	N/A
ORTHOMCL902	0.552135	0.552135	0.517477	0.518477	0.00129403	0.575269	0.533579	0.5221	0.510757	0.573306	0.516478	0.563277	0.633477	0.56386	0.508462	0.000983555	0.574148	0.531952	0.506367	0.506367	N/A
ORTHOMCL907	0.518363	5.8991e-08	0.517477	0.518477	0.549642	0.575269	0.533579	0.5221	0.510757	0.00288714	0.516478	0.0325684	0.633477	0.56386	0.508462	0.618034	0.574148	0.531952	0.506367	0.506367	N/A
ORTHOMCL920	0.552135	0.552135	0.517477	0.518477	0.00129403	0.575269	0.533579	0.5221	0.510757	0.573306	0.516478	0.00213052	0.633477	0.56386	0.508462	0.618034	0.574148	0.531952	0.506367	0.506367	N/A
ORTHOMCL924	0.518363	0.518363	0.517477	6.04792e-08	0.549642	0.575269	0.533579	0.5221	0.510757	0.573306	0.516478	0.563277	0.633477	0.0328761	0.508462	0.618034	0.0383314	0.531952	0.506367	0.506367	N/A
ORTHOMCL940	0.518363	0.00926429	0.517477	0.518477	0.549642	0.575269	0.533579	0.5221	0.510757	0.573306	0.0482242	0.614808	0.0182289	0.615759	0.51671	0.00322904	0.198783	0.560874	0.512612	0.512612	N/A
ORTHOMCL950	0.518363	0.518363	0.517477	0.518477	0.549642	0.575269	0.533579	0.5221	0.510757	0.00288714	0.516478	0.563277	0.633477	0.56386	0.508462	0.618034	1.75825e-05	0.531952	0.506367	0.506367	N/A
ORTHOMCL955	0.535721	0.535721	0.517477	0.518477	0.0254034	0.575269	0.533579	0.5221	0.510757	0.573306	0.516478	0.0938458	0.633477	0.56386	0.508462	0.0619843	1.75825e-05	0.531952	0.506367	0.506367	N/A
ORTHOMCL979	0.0535878	0.535721	0.517477	0.518477	0.592018	0.633994	0.09576	0.542746	0.521167	0.630909	0.532146	0.0651893	0.716159	0.173912	0.51671	0.295932	0.198783	0.560874	0.512612	0.512612	N/A
