#FamilyID	Bimp<0>	Bter<1>	Amel<2>	Aflo<3>	<4>	Mqua<5>	<6>	<7>	<8>	Emex<9>	<10>	Hlab<11>	Lalb<12>	Dnov<13>	<14>	Ccal<15>	Mrot<16>	<17>	<18>	<19>	<20>	
ORTHOMCL147	0.0564491	0.598268	0.0805168	0.0299949	0.000429952	0.690896	0.597692	0.551776	0.525838	0.230662	0.539086	0.647422	0.74394	0.648552	0.522768	0.148518	0.667897	0.580824	0.517225	0.517225	N/A
ORTHOMCL149	0.581193	0.581193	0.00136642	0.58117	0.0920799	0.029253	0.635566	0.574613	0.538001	0.702598	0.556895	0.69588	0.370283	0.648552	0.533566	0.431113	0.0506529	0.172118	0.525503	0.525503	N/A
ORTHOMCL150	0.0650764	4.59614e-10	0.0805168	0.00219811	0.609422	0.287977	0.597692	0.551776	0.525838	0.230662	0.539086	0.221767	0.656541	0.584716	0.522768	0.148518	2.89038e-05	0.121319	0.517225	0.517225	N/A
ORTHOMCL154	0.614239	0.614239	0.527996	0.529569	0.00121658	0.029253	0.00540186	0.574613	0.538001	0.0414487	0.556895	0.129646	0.656541	0.584716	0.0116511	0.337992	0.667897	0.121319	0.517225	0.517225	N/A
ORTHOMCL157	0.543377	0.0226844	0.553663	0.556541	0.609422	0.690896	0.597692	0.551776	0.525838	0.230662	0.539086	0.647422	0.370283	0.648552	0.522768	0.72331	4.69189e-08	0.580824	0.517225	0.517225	N/A
ORTHOMCL159	0.000855154	0.562928	0.0805168	0.556541	0.650333	0.177309	0.205618	0.574613	0.538001	0.702598	0.556895	0.299707	0.244414	0.301766	0.533566	0.776191	0.151402	0.613753	0.525503	0.525503	N/A
ORTHOMCL160	0.562928	0.0947825	0.553663	0.0848386	0.650333	0.376604	0.205618	0.574613	0.538001	0.135763	0.556895	0.299707	0.370283	0.648552	0.533566	0.013914	0.151402	0.172118	0.525503	0.525503	N/A
ORTHOMCL161	0.543377	0.0226844	0.0805168	0.556541	0.609422	0.287977	0.597692	0.551776	0.525838	1.94792e-08	0.539086	0.221767	0.656541	0.584716	0.522768	0.0496011	0.102321	0.121319	0.517225	0.517225	N/A
ORTHOMCL162	0.629186	1.22456e-06	0.527996	0.529569	2.80565e-08	0.61419	0.552979	0.526969	0.513178	0.58786	0.520148	0.583972	0.656541	0.584716	0.511585	0.0735657	0.597786	0.543165	0.508727	0.508727	N/A
ORTHOMCL164	0.656303	0.656303	0.527996	0.529569	1.0755e-10	0.61419	0.552979	0.526969	0.513178	0.58786	0.520148	0.583972	0.656541	0.00389813	0.511585	0.639212	0.597786	0.543165	0.508727	0.508727	N/A
ORTHOMCL165	0.0339992	0.562928	0.577216	0.122441	0.650333	0.029253	0.635566	0.574613	0.538001	0.702598	0.556895	0.000930847	0.74394	0.648552	0.533566	0.0968482	0.718954	0.172118	0.525503	0.525503	N/A
ORTHOMCL167	0.0339992	0.562928	0.00136642	0.000150474	0.650333	0.376604	0.635566	0.574613	0.538001	0.702598	0.020347	0.221767	0.74394	0.648552	0.522768	0.337992	0.102321	0.580824	0.517225	0.517225	N/A
ORTHOMCL170	0.543377	2.25783e-05	0.553663	0.0299949	0.609422	0.690896	0.597692	0.551776	0.525838	0.65329	0.539086	0.647422	0.370283	0.00120473	0.522768	0.337992	0.102321	0.580824	0.517225	0.517225	N/A
ORTHOMCL171	0.562928	0.562928	0.00136642	0.58117	0.650333	0.029253	0.635566	0.574613	0.538001	0.135763	0.556895	0.00324814	0.74394	0.223479	0.533566	0.0451569	0.718954	0.172118	0.525503	0.525503	N/A
ORTHOMCL172	0.581193	0.0452614	0.0805168	0.556541	0.0920799	0.029253	0.205618	0.574613	0.538001	0.135763	0.556895	0.129646	0.370283	0.648552	0.533566	0.0451569	0.718954	0.172118	0.525503	0.525503	N/A
ORTHOMCL173	4.59614e-10	0.0650764	0.0805168	0.556541	0.609422	0.287977	0.597692	0.551776	0.525838	0.091523	0.539086	0.221767	0.656541	0.584716	0.522768	3.02541e-05	0.252857	0.121319	0.517225	0.517225	N/A
ORTHOMCL174	0.0339992	0.562928	0.0805168	0.556541	0.0617189	0.287977	0.597692	0.551776	0.525838	0.65329	0.0856573	0.69588	0.0582655	0.697181	0.533566	0.776191	0.0506529	0.613753	0.525503	0.525503	N/A
ORTHOMCL175	0.581193	0.00521608	0.553663	0.556541	0.00909747	0.287977	0.597692	0.551776	0.525838	0.091523	0.539086	0.221767	0.370283	0.0881231	0.522768	0.148518	0.667897	0.580824	0.517225	0.517225	N/A
ORTHOMCL176	0.0675435	0.614239	0.527996	0.0441282	3.30608e-05	0.287977	0.146693	0.551776	0.525838	0.65329	0.539086	0.647422	0.0269135	0.0881231	0.522768	0.00525836	0.252857	0.580824	0.517225	0.517225	N/A
ORTHOMCL177	0.562928	0.0339992	0.0805168	0.556541	0.0617189	0.287977	0.597692	0.551776	0.525838	0.65329	0.539086	0.647422	0.370283	0.000132235	0.522768	0.0496011	0.252857	0.580824	0.517225	0.517225	N/A
ORTHOMCL182	0.543377	2.25783e-05	0.553663	0.556541	0.609422	0.287977	0.597692	0.551776	0.525838	0.65329	0.539086	0.647422	0.74394	0.648552	0.522768	0.00525836	0.667897	0.580824	0.517225	0.517225	N/A
ORTHOMCL183	0.0339992	0.562928	0.577216	0.58117	0.0617189	0.690896	0.0543258	0.551776	0.525838	0.65329	0.539086	0.221767	0.16846	0.223479	0.522768	0.337992	0.0243132	0.580824	0.517225	0.517225	N/A
ORTHOMCL186	0.543377	0.543377	0.553663	5.16486e-05	0.609422	0.287977	0.597692	0.551776	0.525838	0.65329	0.539086	0.647422	0.74394	0.648552	0.522768	0.00525836	0.667897	0.580824	0.517225	0.517225	N/A
ORTHOMCL187	0.543377	0.00126407	0.0283782	0.556541	0.609422	0.690896	0.597692	0.551776	0.525838	0.65329	0.539086	0.221767	0.795565	0.130817	0.522768	0.0496011	0.00858955	0.0440644	0.517225	0.517225	N/A
ORTHOMCL188	0.0452614	0.581193	0.527996	0.529569	0.00909747	0.287977	0.146693	0.551776	0.525838	0.091523	0.539086	0.221767	0.656541	0.584716	0.522768	0.337992	3.45797e-06	0.121319	0.517225	0.517225	N/A
